id,game_id,value,external_popularity_source
3609026,12072,2.615490388e-06,Steam
3609168,12072,2.344206727e-06,Steam
4491212,13618,1.559721746e-06,IGDB
101316,13618,2.354688263e-06,IGDB
4144688,13618,1.5787111294e-05,Steam
4145735,13618,0.0,Steam
4145014,13618,4.605676746e-06,Steam
4143534,13618,2.775949921e-06,Steam
3503090,14224,1.0918052219e-05,IGDB
101519,14224,6.279168701e-06,IGDB
2494029,14224,0.0,Steam
680642,14224,5.736310626e-06,Steam
3611084,14224,1.853307606e-06,Steam
3611241,14224,2.399364532e-06,Steam
4750939,14387,0.0,Twitch
3503128,14387,4.679165237e-06,IGDB
4033658,14387,2.354688263e-06,IGDB
2970102,14387,2.745584573e-06,Steam
2975480,14387,0.0,Steam
3609223,14387,9.86826128e-07,Steam
3609331,14387,1.234155895e-06,Steam
4619527,14567,3.738890821e-06,IGDB
4060,14567,1.8877719571e-05,IGDB
3503219,14567,1.5597217456e-05,IGDB
101686,14567,1.8052610015e-05,IGDB
3595639,14567,1.1633316142e-05,Steam
631861,14567,9.952744077e-06,Steam
2486333,14567,5.49527342e-07,Steam
3595843,14567,1.1396981529e-05,Steam
4122661,15034,6.238886983e-06,IGDB
101927,15034,7.064064788e-06,IGDB
3610662,15034,2.045859046e-06,Steam
666670,15034,3.088782645e-06,Steam
2493984,15034,1.099054685e-06,Steam
3610815,15034,2.192522762e-06,Steam
4180,15386,9.438859786e-06,IGDB
3503526,15386,7.798608728e-06,IGDB
102087,15386,9.418753051e-06,IGDB
2493349,15386,0.0,Steam
685068,15386,1.078622511e-06,Steam
3609839,15386,5.77654319e-07,Steam
3609980,15386,6.48104213e-07,Steam
3503534,15421,3.119443491e-06,IGDB
102098,15421,7.064064788e-06,IGDB
4787819,15421,3.738890821e-06,IGDB
4122662,15992,3.119443491e-06,IGDB
102355,15992,5.494272613e-06,IGDB
3610666,15992,1.901445466e-06,Steam
3610822,15992,1.765049771e-06,Steam
683126,15992,9.31537623e-07,Steam
2493724,15992,0.0,Steam
3503822,16247,6.238886983e-06,IGDB
102452,16247,4.709376526e-06,IGDB
3787944,16247,3.61033949e-07,Steam
3787178,16247,0.0,Steam
3789265,16247,9.72156319e-07,Steam
3787649,16247,4.706716411e-06,Steam
3503863,16365,1.2477773965e-05,IGDB
102509,16365,6.7501063534e-05,IGDB
643632,16365,2.647527981e-06,Steam
3610638,16365,3.931258558e-06,Steam
2493985,16365,0.0,Steam
3610794,16365,3.750730763e-06,Steam
3609119,16608,3.647309878e-06,Steam
4325,16608,9.438859786e-06,IGDB
3503927,16608,2.3395826185e-05,IGDB
102594,16608,8.633856964e-06,IGDB
2787585,16608,0.0,Steam
889739,16608,6.520763361e-06,Steam
3608979,16608,3.177098753e-06,Steam
3503948,16641,3.119443491e-06,IGDB
102618,16641,3.924480438e-06,IGDB
3609764,16641,8.54945983e-07,Steam
3609627,16641,8.10320642e-07,Steam
2493227,16641,3.66351562e-07,Steam
685218,16641,1.127650807e-06,Steam
4122668,16777,3.119443491e-06,IGDB
4052947,16777,7.84896088e-07,IGDB
3609142,16777,1.530629098e-06,Steam
3609002,16777,6.41838132e-07,Steam
2995265,16777,6.962018024e-06,Steam
2995311,16777,0.0,Steam
3956317,16847,2.354688263e-06,IGDB
697338,16847,8.33481031e-07,Steam
2493321,16847,0.0,Steam
3610075,16847,6.61893664e-07,Steam
3609926,16847,6.33815155e-07,Steam
4122676,16930,3.119443491e-06,IGDB
4052946,16930,7.84896088e-07,IGDB
3609507,16930,7.06021945e-07,Steam
2493353,16930,0.0,Steam
686571,16930,1.863075246e-06,Steam
3609656,16930,8.68735434e-07,Steam
3504172,17206,1.0918052219e-05,IGDB
102877,17206,3.13958435e-06,IGDB
3608806,17206,8.50435525e-07,Steam
2787569,17206,0.0,Steam
3608945,17206,9.44577417e-07,Steam
683734,17206,1.519877174e-06,Steam
3610751,17361,4.09171809e-07,Steam
3871936,17361,1.559721746e-06,IGDB
102961,17361,3.13958435e-06,IGDB
684916,17361,5.39311255e-07,Steam
2493994,17361,0.0,Steam
3610904,17361,4.27472991e-07,Steam
4530195,17532,4.679165237e-06,IGDB
103041,17532,3.13958435e-06,IGDB
3609344,17532,2.32352255e-06,Steam
2493136,17532,0.0,Steam
3609235,17532,2.222364532e-06,Steam
684155,17532,2.941697757e-06,Steam
103087,17657,2.354688263e-06,IGDB
848172,17657,1.863075246e-06,Steam
2493511,17657,0.0,Steam
3609910,17657,2.80804183e-07,Steam
3610056,17657,5.03314974e-07,Steam
2975493,17721,0.0,Steam
4088727,17721,1.559721746e-06,IGDB
3609177,17721,3.58525735e-07,Steam
2970130,17721,1.127650807e-06,Steam
3609034,17721,2.32666323e-07,Steam
4530197,17762,1.559721746e-06,IGDB
103116,17762,7.064064788e-06,IGDB
3093655,17762,9.80565919e-07,Steam
3609169,17762,9.86826128e-07,Steam
